日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2016年09月,台南市,400873975,0.171,323785865,0.1381,38727714,0.0165,1581152130,0.6744,2344539684,0.1205
2016年09月,高雄市,662319545,0.2654,545812193,0.2187,20813030,0.0083,1267000558,0.5076,2495945326,0.1283
2016年09月,宜蘭縣,98573099,0.3178,83370936,0.2688,7088914,0.0229,121182298,0.3906,310215247,0.0159
2016年09月,新竹縣,121643165,0.1459,93868817,0.1126,1931349,0.0023,616149969,0.7391,833593300,0.0429
2016年09月,苗栗縣,124788339,0.1989,83452244,0.133,2524646,0.004,416732394,0.6641,627497623,0.0323
2016年09月,彰化縣,250236219,0.2589,202327687,0.2093,45478222,0.0471,468517817,0.4847,966559945,0.0497
2016年09月,南投縣,74297947,0.3041,66176765,0.2709,10390050,0.0425,93454867,0.3825,244319629,0.0126
2016年09月,雲林縣,139332380,0.2705,91297226,0.1772,37135331,0.0721,247314948,0.4801,515079885,0.0265
2016年09月,嘉義縣,95319720,0.3689,62903223,0.2434,23089981,0.0894,77104142,0.2984,258417066,0.0133
2016年09月,屏東縣,166883796,0.3922,111134634,0.2612,60815004,0.1429,86715875,0.2038,425549309,0.0219
2016年09月,台東縣,38393186,0.4249,38994441,0.4316,2512791,0.0278,10448954,0.1157,90349372,0.0046
2016年09月,花蓮縣,66276339,0.2933,75646131,0.3348,3015261,0.0133,81019329,0.3586,225957060,0.0116
2016年09月,基隆市,75158596,0.5034,55778857,0.3736,8744,0.0001,18347820,0.1229,149294017,0.0077
2016年09月,新竹市,120398304,0.1307,125915065,0.1367,825962,0.0009,673737315,0.7316,920876646,0.0473
2016年09月,嘉義市,56196252,0.4609,57686383,0.4732,569107,0.0047,7462942,0.0612,121914684,0.0063
2016年09月,澎湖縣,20579982,0.4542,20548408,0.4535,535408,0.0118,3644318,0.0804,45308116,0.0023
2016年09月,金門縣,13475708,0.4155,15527167,0.4788,290054,0.0089,3139277,0.0968,32432206,0.0017
2016年09月,連江縣,2801473,0.3989,3677196,0.5236,24470,0.0035,519448,0.074,7022587,0.0004
2016年09月,合計,5254800333,0.2701,4849204775,0.2493,277954844,0.0143,9070830744,0.4663,19452790696,1
2016年08月,新北市,930153249,0.4459,656904853,0.3149,2124452,0.001,497029706,0.2382,2086212260,0.104
2016年08月,台北市,620475711,0.3742,993854405,0.5993,1894287,0.0011,42023950,0.0253,1658248353,0.0827
2016年08月,桃園市,537350608,0.1975,465791681,0.1712,3399597,0.0012,1714196045,0.63,2720737931,0.1356
2016年08月,台中市,609458283,0.237,639793604,0.2488,16154792,0.0063,1305936855,0.5079,2571343534,0.1282
2016年08月,台南市,409699146,0.1646,336453606,0.1352,39173792,0.0157,1703212155,0.6844,2488538699,0.1241
2016年08月,高雄市,531624055,0.2117,559397447,0.2227,21735055,0.0087,1398814969,0.5569,2511571526,0.1252
2016年08月,宜蘭縣,96750824,0.2961,81156181,0.2484,7516681,0.023,141338749,0.4325,326762435,0.0163
2016年08月,新竹縣,135804152,0.1525,104608064,0.1175,2124273,0.0024,647759003,0.7276,890295492,0.0444
2016年08月,苗栗縣,105290002,0.1619,82078934,0.1262,2774898,0.0043,460330384,0.7077,650474218,0.0324
2016年08月,彰化縣,249853615,0.2446,209034123,0.2046,47079259,0.0461,515551367,0.5047,1021518364,0.0509
2016年08月,南投縣,90679595,0.3267,71893909,0.259,11245277,0.0405,103773492,0.3738,277592273,0.0138
2016年08月,雲林縣,131930516,0.2531,87995471,0.1688,38794771,0.0744,262527903,0.5037,521248661,0.026
2016年08月,嘉義縣,85266291,0.3334,62447843,0.2442,24072762,0.0941,83975343,0.3283,255762239,0.0128
2016年08月,屏東縣,156537413,0.3631,110838314,0.2571,63788032,0.148,99958739,0.2319,431122498,0.0215
2016年08月,台東縣,43229864,0.4398,41262947,0.4198,2896258,0.0295,10903299,0.1109,98292368,0.0049
2016年08月,花蓮縣,72749424,0.3019,75348342,0.3126,3306071,0.0137,89596392,0.3718,241000229,0.012
2016年08月,基隆市,85156702,0.5257,57417340,0.3545,7787,0,19394495,0.1197,161976324,0.0081
2016年08月,新竹市,109340857,0.1156,127395630,0.1347,901561,0.001,708194347,0.7488,945832395,0.0472
2016年08月,嘉義市,56002235,0.4602,56997603,0.4683,645256,0.0053,8058944,0.0662,121704038,0.0061
2016年08月,澎湖縣,17467355,0.4315,18409123,0.4547,606711,0.015,4000434,0.0988,40483623,0.002
2016年08月,金門縣,11825045,0.3867,14789690,0.4837,308401,0.0101,3652530,0.1195,30575666,0.0015
2016年08月,連江縣,2202509,0.3353,3787250,0.5765,21619,0.0033,558304,0.085,6569682,0.0003
2016年08月,合計,5088847451,0.2537,4857656360,0.2422,290571592,0.0145,9820787405,0.4896,20057862808,1
2016年07月,新北市,818408898,0.4138,674572389,0.3411,2002492,0.001,482784930,0.2441,1977768709,0.1018
2016年07月,台北市,552658231,0.3467,998506732,0.6263,1902032,0.0012,41207027,0.0258,1594274022,0.0821
2016年07月,桃園市,380289245,0.1513,442483228,0.176,3151890,0.0013,1687585692,0.6714,2513510055,0.1294
2016年07月,台中市,560046717,0.225,635082080,0.2552,15848092,0.0064,1277664110,0.5134,2488640999,0.1281
2016年07月,台南市,371351596,0.1536,322854291,0.1336,37190593,0.0154,1685521521,0.6974,2416918001,0.1244
2016年07月,高雄市,637747495,0.2442,556488222,0.2131,21121443,0.0081,1396344252,0.5346,2611701412,0.1345
2016年07月,宜蘭縣,81325595,0.2625,80569817,0.2601,7541946,0.0243,140338492,0.453,309775850,0.0159
2016年07月,新竹縣,101211165,0.1198,92196824,0.1092,2096961,0.0025,649090920,0.7685,844595870,0.0435
2016年07月,苗栗縣,106223358,0.1611,82377193,0.1249,2894492,0.0044,467900817,0.7096,659395860,0.034
2016年07月,彰化縣,220833180,0.2284,194067908,0.2007,45507153,0.0471,506363480,0.5238,966771721,0.0498
2016年07月,南投縣,67071120,0.2764,64962528,0.2677,10069788,0.0415,100580140,0.4144,242683576,0.0125
2016年07月,雲林縣,129461691,0.2536,89473032,0.1752,38381490,0.0752,253265848,0.496,510582061,0.0263
2016年07月,嘉義縣,87570716,0.3417,61836986,0.2413,23712928,0.0925,83184063,0.3246,256304693,0.0132
2016年07月,屏東縣,165854270,0.3747,112466203,0.2541,65724325,0.1485,98612084,0.2228,442656882,0.0228
2016年07月,台東縣,35145642,0.3978,39869182,0.4512,2959713,0.0335,10379398,0.1175,88353935,0.0045
2016年07月,花蓮縣,57654877,0.2546,76070719,0.3359,3165400,0.014,89567771,0.3955,226458767,0.0117
2016年07月,基隆市,61830370,0.4511,55793565,0.4071,6769,0,19430708,0.1418,137061412,0.0071
2016年07月,新竹市,103414617,0.1107,126433328,0.1353,856578,0.0009,703841030,0.7531,934545553,0.0481
2016年07月,嘉義市,52293347,0.4417,57800838,0.4882,626496,0.0053,7679931,0.0649,118400612,0.0061
2016年07月,澎湖縣,18838287,0.4242,21016100,0.4732,575721,0.013,3979234,0.0896,44409342,0.0023
2016年07月,金門縣,11562463,0.3678,15947253,0.5073,307366,0.0098,3620065,0.1152,31437147,0.0016
2016年07月,連江縣,2364219,0.376,3362024,0.5347,19917,0.0032,541576,0.0861,6287736,0.0003
2016年07月,合計,4623157099,0.238,4804230442,0.2474,285663585,0.0147,9709483089,0.4999,19422534215,1
2016年06月,新北市,653053616,0.3859,579978252,0.3427,1876533,0.0011,457468570,0.2703,1692376971,0.0949
2016年06月,台北市,432604003,0.3152,899661906,0.6555,1810062,0.0013,38310628,0.0279,1372386599,0.077
2016年06月,桃園市,378144999,0.1559,414188657,0.1707,2522225,0.001,1631041196,0.6723,2425897077,0.136
2016年06月,台中市,471738518,0.2061,582434190,0.2544,14888164,0.0065,1220312238,0.533,2289373110,0.1284
2016年06月,台南市,327683733,0.1422,317304826,0.1377,33307401,0.0145,1625906226,0.7056,2304202186,0.1292
2016年06月,高雄市,434130982,0.1859,537823498,0.2302,19601298,0.0084,1344361913,0.5755,2335917691,0.131
2016年06月,宜蘭縣,67752668,0.2473,69182841,0.2525,6471010,0.0236,130608674,0.4766,274015193,0.0154
2016年06月,新竹縣,94975446,0.1173,92168733,0.1138,1679930,0.0021,620904261,0.7668,809728370,0.0454
2016年06月,苗栗縣,72501496,0.1221,73683332,0.124,2171242,0.0037,445667471,0.7503,594023541,0.0333
2016年06月,彰化縣,192662845,0.2119,189163428,0.208,40272767,0.0443,487313208,0.5359,909412248,0.051
2016年06月,南投縣,77354022,0.3075,65844783,0.2618,10036613,0.0399,98296716,0.3908,251532134,0.0141
2016年06月,雲林縣,110968034,0.2371,81634122,0.1744,34129551,0.0729,241327619,0.5156,468059326,0.0262
2016年06月,嘉義縣,72162749,0.3111,59344543,0.2558,22253467,0.0959,78220700,0.3372,231981459,0.013
2016年06月,屏東縣,133208562,0.3354,106372943,0.2678,62714644,0.1579,94906111,0.2389,397202260,0.0223
2016年06月,台東縣,34654558,0.4007,38203911,0.4418,2921261,0.0338,10695017,0.1237,86474747,0.0048
2016年06月,花蓮縣,54273213,0.2551,69361743,0.326,2528795,0.0119,86607509,0.407,212771260,0.0119
2016年06月,基隆市,58410296,0.4558,50880228,0.397,7159,0.0001,18848143,0.1471,128145826,0.0072
2016年06月,新竹市,75417131,0.086,119393366,0.1361,793867,0.0009,681464292,0.777,877068656,0.0492
2016年06月,嘉義市,44887835,0.4234,52998748,0.4999,639153,0.006,7488999,0.0706,106014735,0.0059
2016年06月,澎湖縣,13463284,0.393,16417397,0.4792,501190,0.0146,3879127,0.1132,34260998,0.0019
2016年06月,金門縣,8245461,0.3266,13358193,0.5291,239184,0.0095,3405127,0.1349,25247965,0.0014
2016年06月,連江縣,1847634,0.3428,3012439,0.5589,14088,0.0026,515522,0.0956,5389683,0.0003
2016年06月,合計,3810141085,0.2137,4432412079,0.2486,261379604,0.0147,9327549267,0.5231,17831482035,1
2016年05月,新北市,604572205,0.3661,583067904,0.3531,1914380,0.0012,461879880,0.2797,1651434369,0.0938
2016年05月,台北市,402085514,0.3046,878531544,0.6655,1721030,0.0013,37697387,0.0286,1320035475,0.0749
2016年05月,桃園市,306570151,0.1308,389481407,0.1662,2474562,0.0011,1644765640,0.7019,2343291760,0.133
2016年05月,台中市,426337905,0.1876,575892781,0.2534,14605912,0.0064,1255965936,0.5526,2272802534,0.129
2016年05月,台南市,281417812,0.1241,303781461,0.1339,31065343,0.0137,1651755944,0.7283,2268020560,0.1288
2016年05月,高雄市,469701356,0.1918,527596438,0.2154,20098513,0.0082,1431928832,0.5846,2449325139,0.1391
2016年05月,宜蘭縣,62242608,0.2264,70062988,0.2548,6337220,0.023,136324766,0.4958,274967582,0.0156
2016年05月,新竹縣,78998932,0.1004,81487667,0.1035,1692163,0.0022,624792999,0.7939,786971761,0.0447
2016年05月,苗栗縣,77013635,0.1267,73774048,0.1213,1900277,0.0031,455383362,0.7489,608071322,0.0345
2016年05月,彰化縣,171823739,0.194,176242974,0.199,37018882,0.0418,500638315,0.5652,885723910,0.0503
2016年05月,南投縣,59037370,0.2572,60417564,0.2632,9421585,0.041,100678865,0.4386,229555384,0.013
2016年05月,雲林縣,99526447,0.2183,82673280,0.1814,30686025,0.0673,242964326,0.533,455850078,0.0259
2016年05月,嘉義縣,68855844,0.3038,58736187,0.2592,19463340,0.0859,79592911,0.3512,226648282,0.0129
2016年05月,屏東縣,128096141,0.3233,105565956,0.2664,63466206,0.1602,99086574,0.2501,396214877,0.0225
2016年05月,台東縣,28455382,0.3621,36684929,0.4669,2746274,0.035,10690031,0.136,78576616,0.0045
2016年05月,花蓮縣,45597542,0.2244,68471983,0.337,2490016,0.0123,86611761,0.4263,203171302,0.0115
2016年05月,基隆市,47697430,0.4201,47998407,0.4227,7935,0.0001,17836331,0.1571,113540103,0.0064
2016年05月,新竹市,74733536,0.085,114807446,0.1306,748821,0.0009,688592267,0.7835,878882070,0.0499
2016年05月,嘉義市,40169126,0.3935,53623406,0.5253,568597,0.0056,7718279,0.0756,102079408,0.0058
2016年05月,澎湖縣,13778610,0.3836,17793099,0.4954,460034,0.0128,3887897,0.1082,35919640,0.002
2016年05月,金門縣,9187504,0.3551,13234455,0.5115,257377,0.0099,3195302,0.1235,25874638,0.0015
2016年05月,連江縣,2334374,0.4124,2838953,0.5016,18339,0.0032,468599,0.0828,5660265,0.0003
2016年05月,合計,3498233163,0.1986,4322764877,0.2454,249162831,0.0141,9542456204,0.5418,17612617075,1
2016年04月,新北市,576296689,0.3938,460680605,0.3148,1615708,0.0011,424668280,0.2902,1463261282,0.0911
2016年04月,台北市,365587917,0.3251,723994603,0.6438,1546308,0.0014,33355844,0.0297,1124484672,0.07
2016年04月,桃園市,362998695,0.1619,336396615,0.15,2141787,0.001,1540502812,0.6871,2242039909,0.1396
2016年04月,台中市,400804151,0.1959,480339597,0.2347,12661607,0.0062,1152554105,0.5632,2046359460,0.1274
2016年04月,台南市,261563530,0.1239,264315682,0.1252,26641988,0.0126,1558651190,0.7383,2111172390,0.1315
2016年04月,高雄市,323796103,0.1496,455152681,0.2103,17968027,0.0083,1367708947,0.6318,2164625758,0.1348
2016年04月,宜蘭縣,62314580,0.2462,58351766,0.2305,5018973,0.0198,127429866,0.5034,253115185,0.0158
2016年04月,新竹縣,88526444,0.1201,75230048,0.1021,1253525,0.0017,571881232,0.7761,736891249,0.0459
2016年04月,苗栗縣,64516229,0.1126,61854759,0.1079,1614600,0.0028,445052660,0.7767,573038248,0.0357
2016年04月,彰化縣,167673910,0.2029,161665369,0.1956,30541986,0.037,466437000,0.5645,826318265,0.0515
2016年04月,南投縣,71691080,0.3114,56796704,0.2467,7890792,0.0343,93853481,0.4076,230232057,0.0143
2016年04月,雲林縣,92419165,0.2247,69476671,0.1689,24941657,0.0606,224421042,0.5457,411258535,0.0256
2016年04月,嘉義縣,60141971,0.2845,51840359,0.2452,15563392,0.0736,83874879,0.3967,211420601,0.0132
2016年04月,屏東縣,105008391,0.3081,90429497,0.2654,55548383,0.163,89805019,0.2635,340791290,0.0212
2016年04月,台東縣,29721690,0.3992,32184053,0.4322,2346023,0.0315,10210187,0.1371,74461953,0.0046
2016年04月,花蓮縣,48877582,0.2537,59207187,0.3073,2104884,0.0109,82490360,0.4281,192680013,0.012
2016年04月,基隆市,55964107,0.4936,40574215,0.3579,8019,0.0001,16827089,0.1484,113373430,0.0071
2016年04月,新竹市,65857116,0.082,96620216,0.1203,675762,0.0008,640231272,0.7969,803384366,0.05
2016年04月,嘉義市,37379862,0.4268,43169574,0.493,434736,0.005,6588699,0.0752,87572871,0.0055
2016年04月,澎湖縣,11633174,0.4068,13223641,0.4624,378617,0.0132,3364643,0.1176,28600075,0.0018
2016年04月,金門縣,8082411,0.3884,10438098,0.5016,188759,0.0091,2100734,0.1009,20810002,0.0013
2016年04月,連江縣,1729232,0.3778,2469700,0.5396,11695,0.0026,366227,0.08,4576854,0.0003
2016年04月,合計,3262584029,0.2031,3644411640,0.2269,211097228,0.0131,8942375568,0.5568,16060468465,1
2016年03月,新北市,584256083,0.3935,476019642,0.3206,1560163,0.0011,422854581,0.2848,1484690469,0.0932
2016年03月,台北市,384036308,0.342,704709973,0.6275,1368482,0.0012,32940032,0.0293,1123054795,0.0705
2016年03月,桃園市,311520432,0.1437,320380406,0.1478,2036645,0.0009,1533275303,0.7075,2167212786,0.136
2016年03月,台中市,403860286,0.1979,466251154,0.2285,11254907,0.0055,1159058791,0.568,2040425138,0.1281
2016年03月,台南市,257839119,0.1243,242287118,0.1168,26460642,0.0128,1548010739,0.7462,2074597618,0.1302
2016年03月,高雄市,408419599,0.1852,425177071,0.1928,19075730,0.0087,1352229114,0.6133,2204901514,0.1384
2016年03月,宜蘭縣,61782811,0.2374,60186987,0.2312,4861118,0.0187,133454198,0.5127,260285114,0.0163
2016年03月,新竹縣,78551190,0.1104,67913108,0.0955,1223931,0.0017,563738214,0.7924,711426443,0.0446
2016年03月,苗栗縣,75551822,0.1325,63091261,0.1106,1532701,0.0027,430240081,0.7543,570415865,0.0358
2016年03月,彰化縣,165132711,0.2053,150393024,0.187,29196639,0.0363,459718215,0.5715,804440589,0.0505
2016年03月,南投縣,58545104,0.2761,52853640,0.2492,7775331,0.0367,92886764,0.438,212060839,0.0133
2016年03月,雲林縣,92879448,0.224,69728451,0.1681,26535040,0.064,225575861,0.5439,414718800,0.026
2016年03月,嘉義縣,65959206,0.3231,48602681,0.2381,16821831,0.0824,72740595,0.3564,204124313,0.0128
2016年03月,屏東縣,113927080,0.3274,87173174,0.2505,57124231,0.1642,89730320,0.2579,347954805,0.0218
2016年03月,台東縣,26638713,0.3829,30391222,0.4369,2407244,0.0346,10129880,0.1456,69567059,0.0044
2016年03月,花蓮縣,42760350,0.2287,57258923,0.3062,2145550,0.0115,84804325,0.4536,186969148,0.0117
2016年03月,基隆市,47780072,0.4567,39822866,0.3806,7454,0.0001,17017527,0.1626,104627919,0.0066
2016年03月,新竹市,72305359,0.0894,92418001,0.1143,590293,0.0007,643149601,0.7955,808463254,0.0507
2016年03月,嘉義市,37121352,0.4338,41406194,0.4839,433077,0.0051,6602358,0.0772,85562981,0.0054
2016年03月,澎湖縣,13276723,0.4283,13990160,0.4513,346005,0.0112,3385734,0.1092,30998622,0.0019
2016年03月,金門縣,9321469,0.4166,10853222,0.485,201667,0.009,2000969,0.0894,22377327,0.0014
2016年03月,連江縣,2398545,0.4239,2788807,0.4929,15433,0.0027,455298,0.0805,5658083,0.0004
2016年03月,合計,3313863782,0.208,3523697085,0.2211,212974114,0.0134,8883998500,0.5575,15934533481,1
2016年02月,新北市,538570714,0.4165,413244674,0.3196,1424480,0.0011,339951336,0.2629,1293191204,0.0941
2016年02月,台北市,345669833,0.3526,604745233,0.6168,1199238,0.0012,28841640,0.0294,980455944,0.0713
2016年02月,桃園市,338506417,0.1803,293452034,0.1563,1963518,0.001,1243514891,0.6623,1877436860,0.1365
2016年02月,台中市,375418671,0.2144,416503206,0.2379,10364161,0.0059,948669660,0.5418,1750955698,0.1273
2016年02月,台南市,246328255,0.1404,221659080,0.1263,24420658,0.0139,1261936316,0.7193,1754344309,0.1276
2016年02月,高雄市,308329421,0.1666,379123745,0.2048,16898361,0.0091,1146531032,0.6195,1850882559,0.1346
2016年02月,宜蘭縣,59925856,0.2697,52514644,0.2363,3964428,0.0178,105792930,0.4761,222197858,0.0162
2016年02月,新竹縣,80829476,0.1253,67017238,0.1039,1034008,0.0016,496126667,0.7692,645007389,0.0469
2016年02月,苗栗縣,59569974,0.1219,56055094,0.1147,1370526,0.0028,371832941,0.7607,488828535,0.0356
2016年02月,彰化縣,154411560,0.2265,145498473,0.2135,27167736,0.0399,354566922,0.5202,681644691,0.0496
2016年02月,南投縣,66266309,0.3423,50696150,0.2619,6550286,0.0338,70062570,0.3619,193575315,0.0141
2016年02月,雲林縣,81091214,0.2272,61400673,0.172,23709381,0.0664,190766908,0.5344,356968176,0.026
2016年02月,嘉義縣,55123723,0.3264,44154241,0.2615,14609951,0.0865,54980735,0.3256,168868650,0.0123
2016年02月,屏東縣,98187409,0.3319,77664623,0.2625,51518754,0.1741,68507996,0.2315,295878782,0.0215
2016年02月,台東縣,27944209,0.4246,27712705,0.421,2167682,0.0329,7995248,0.1215,65819844,0.0048
2016年02月,花蓮縣,45566308,0.2604,50858608,0.2906,1921631,0.011,76645823,0.438,174992370,0.0127
2016年02月,基隆市,51893036,0.513,35467660,0.3506,7025,0.0001,13797228,0.1364,101164949,0.0074
2016年02月,新竹市,61529037,0.0853,78098013,0.1082,570455,0.0008,581465971,0.8057,721663476,0.0525
2016年02月,嘉義市,34728372,0.4518,36485003,0.4746,450059,0.0059,5211418,0.0678,76874852,0.0056
2016年02月,澎湖縣,10491206,0.4143,11496234,0.454,319021,0.0126,3016080,0.1191,25322541,0.0018
2016年02月,金門縣,7569588,0.4104,9044726,0.4903,172343,0.0093,1658982,0.0899,18445639,0.0013
2016年02月,連江縣,1764007,0.3585,2697279,0.5481,16247,0.0033,443644,0.0901,4921177,0.0004
2016年02月,合計,3049714595,0.2218,3135589336,0.2281,191819949,0.014,7372316938,0.5362,13749440818,1
2016年01月,新北市,540526631,0.3716,508784803,0.3498,1679927,0.0012,403472508,0.2774,1454463869,0.0931
2016年01月,台北市,360765814,0.3208,729390418,0.6485,1383129,0.0012,33131040,0.0295,1124670401,0.072
2016年01月,桃園市,277353087,0.1321,335979970,0.1601,2177982,0.001,1483364415,0.7067,2098875454,0.1343
2016年01月,台中市,380614970,0.19,494912839,0.247,11932660,0.006,1115879746,0.557,2003340215,0.1282
2016年01月,台南市,248579986,0.1232,253183289,0.1255,27581718,0.0137,1487836129,0.7376,2017181122,0.1291
2016年01月,高雄市,414615754,0.1909,435500264,0.2005,19383739,0.0089,1302511416,0.5997,2172011173,0.139
2016年01月,宜蘭縣,57517473,0.2215,62501002,0.2406,4341753,0.0167,135364306,0.5212,259724534,0.0166
2016年01月,新竹縣,68535413,0.0986,71708426,0.1032,1157780,0.0017,553488357,0.7965,694889976,0.0445
2016年01月,苗栗縣,68742495,0.121,67457187,0.1188,1580625,0.0028,430170308,0.7574,567950615,0.0364
2016年01月,彰化縣,151432577,0.1933,160757349,0.2052,30463550,0.0389,440890264,0.5627,783543740,0.0502
2016年01月,南投縣,54411432,0.2664,54413518,0.2664,7854383,0.0385,87551201,0.4287,204230534,0.0131
2016年01月,雲林縣,85397006,0.21,74457224,0.1831,24489117,0.0602,222261909,0.5466,406605256,0.026
2016年01月,嘉義縣,61012850,0.3055,52130926,0.2611,15721688,0.0787,70818078,0.3547,199683542,0.0128
2016年01月,屏東縣,114210920,0.3294,90061517,0.2598,56722139,0.1636,85717489,0.2472,346712065,0.0222
2016年01月,台東縣,25804334,0.3716,30963504,0.4459,2399328,0.0346,10273363,0.1479,69440529,0.0044
2016年01月,花蓮縣,41360028,0.2207,58844871,0.3139,2086817,0.0111,85145655,0.4543,187437371,0.012
2016年01月,基隆市,43786770,0.4289,41029849,0.4019,7507,0.0001,17266162,0.1691,102090288,0.0065
2016年01月,新竹市,65474909,0.0832,92015899,0.1169,604674,0.0008,628960999,0.7991,787056481,0.0504
2016年01月,嘉義市,35132162,0.4102,43537853,0.5083,436888,0.0051,6547267,0.0764,85654170,0.0055
2016年01月,澎湖縣,12398263,0.3993,14876697,0.4791,357898,0.0115,3417745,0.1101,31050603,0.002
2016年01月,金門縣,8320068,0.383,11187488,0.515,199869,0.0092,2015170,0.0928,21722595,0.0014
2016年01月,連江縣,1995495,0.3844,2742351,0.5283,15884,0.0031,437623,0.0843,5191353,0.0003
2016年01月,合計,3117988437,0.1996,3686437244,0.236,212579055,0.0136,8606521150,0.5509,15623525886,1
