日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2017年05月,雲林縣,104391131,0.2245,74450709,0.1601,33319654,0.0717,252818582,0.5437,464980076,0.0266
2017年05月,嘉義縣,70014121,0.3101,55597216,0.2463,20824949,0.0922,79329802,0.3514,225766088,0.0129
2017年05月,屏東縣,128480117,0.3269,103816119,0.2641,60936454,0.155,99792594,0.2539,393025284,0.0225
2017年05月,台東縣,27825155,0.381,31803268,0.4355,2409769,0.033,10993044,0.1505,73031236,0.0042
2017年05月,花蓮縣,44614094,0.2175,64717719,0.3156,2484292,0.0121,93259254,0.4548,205075359,0.0117
2017年05月,基隆市,46291028,0.4192,45982171,0.4164,8194,0.0001,18155946,0.1644,110437339,0.0063
2017年05月,新竹市,71904063,0.085,109417193,0.1293,748031,0.0009,664320227,0.7849,846389514,0.0484
2017年05月,嘉義市,38665046,0.4029,49745030,0.5183,531859,0.0055,7033365,0.0733,95975300,0.0055
2017年05月,澎湖縣,13468446,0.381,17796109,0.5035,424533,0.012,3657356,0.1035,35346444,0.002
2017年05月,金門縣,9049361,0.3626,12670840,0.5077,243227,0.0097,2992499,0.1199,24955927,0.0014
2017年05月,連江縣,2188594,0.3804,3068762,0.5334,16867,0.0029,479442,0.0833,5753665,0.0003
2017年05月,合計,3421376029,0.1955,4172995396,0.2384,246748209,0.0141,9660452724,0.552,17501572358,1
2017年04月,新北市,562071939,0.38,479978061,0.3245,1692284,0.0011,435496726,0.2944,1479239010,0.0908
2017年04月,台北市,356821661,0.3218,716980556,0.6465,1421064,0.0013,33717852,0.0304,1108941133,0.0681
2017年04月,桃園市,353028674,0.1582,345783202,0.155,2314754,0.001,1530082992,0.6858,2231209622,0.1369
2017年04月,台中市,394066609,0.178,496690452,0.2243,12497570,0.0056,1310904869,0.5921,2214159500,0.1359
2017年04月,台南市,256975197,0.1235,267507860,0.1286,29050371,0.014,1527023825,0.7339,2080557253,0.1277
2017年04月,高雄市,321868157,0.1458,457271028,0.2072,19861824,0.009,1408059359,0.638,2207060368,0.1355
2017年04月,宜蘭縣,62672370,0.2433,60425612,0.2346,5111825,0.0198,129412736,0.5023,257622543,0.0158
2017年04月,新竹縣,85449814,0.1124,78456428,0.1032,1458138,0.0019,595045646,0.7825,760410026,0.0467
2017年04月,苗栗縣,63723549,0.1089,61053904,0.1043,2027648,0.0035,458427987,0.7833,585233088,0.0359
2017年04月,彰化縣,165449480,0.1962,173685099,0.2059,33864532,0.0401,470484533,0.5578,843483644,0.0518
2017年04月,南投縣,69672752,0.3061,56403708,0.2478,9062598,0.0398,92502527,0.4064,227641585,0.014
2017年04月,雲林縣,95534344,0.2226,65731034,0.1531,31385222,0.0731,236583482,0.5512,429234082,0.0263
2017年04月,嘉義縣,61068209,0.2857,51491826,0.2409,19650724,0.0919,81541519,0.3815,213752278,0.0131
2017年04月,屏東縣,105256130,0.3009,92796894,0.2652,59881941,0.1712,91917742,0.2627,349852707,0.0215
2017年04月,台東縣,29533059,0.4135,28959695,0.4055,2273270,0.0318,10653965,0.1492,71419989,0.0044
2017年04月,花蓮縣,48479217,0.2487,58070141,0.2979,2261760,0.0116,86118513,0.4418,194929631,0.012
2017年04月,基隆市,54029033,0.4812,41232802,0.3672,9251,0.0001,17005698,0.1515,112276784,0.0069
2017年04月,新竹市,62849053,0.08,97444372,0.1241,666715,0.0008,624401904,0.795,785362044,0.0482
2017年04月,嘉義市,35674469,0.4164,42792488,0.4995,507076,0.0059,6701513,0.0782,85675546,0.0053
2017年04月,澎湖縣,11374880,0.3946,13586345,0.4713,426777,0.0148,3440183,0.1193,28828185,0.0018
2017年04月,金門縣,7937163,0.3825,10287178,0.4957,247871,0.0119,2279478,0.1098,20751690,0.0013
2017年04月,連江縣,1819510,0.353,2883679,0.5595,18296,0.0035,432362,0.0839,5153847,0.0003
2017年04月,合計,3205355269,0.1967,3699512364,0.2271,235691511,0.0145,9152235411,0.5617,16292794555,1
2017年03月,新北市,563517723,0.3845,479896850,0.3275,1506324,0.001,420538095,0.287,1465458992,0.0894
2017年03月,台北市,370542449,0.3338,705271228,0.6354,1484464,0.0013,32727486,0.0295,1110025627,0.0677
2017年03月,桃園市,299697293,0.1353,326466515,0.1473,2095520,0.0009,1587349835,0.7164,2215609163,0.1352
2017年03月,台中市,393514476,0.178,477027361,0.2158,11901504,0.0054,1327906300,0.6008,2210349641,0.1349
2017年03月,台南市,255360779,0.1213,245549510,0.1166,25255497,0.012,1579391163,0.7501,2105556949,0.1285
2017年03月,高雄市,404201582,0.1757,434920981,0.1891,18223756,0.0079,1443194801,0.6273,2300541120,0.1404
2017年03月,宜蘭縣,62405544,0.2399,60777309,0.2337,4294454,0.0165,132622881,0.5099,260100188,0.0159
2017年03月,新竹縣,76037219,0.102,70962248,0.0952,1268802,0.0017,596949549,0.801,745217818,0.0455
2017年03月,苗栗縣,73215288,0.1225,61139849,0.1023,1851743,0.0031,461499723,0.7721,597706603,0.0365
2017年03月,彰化縣,166581132,0.1938,160986789,0.1873,29718591,0.0346,502420457,0.5844,859706969,0.0525
2017年03月,南投縣,58151762,0.269,51543837,0.2384,7968538,0.0369,98516754,0.4557,216180891,0.0132
2017年03月,雲林縣,96750369,0.2228,66142290,0.1523,28310008,0.0652,243024994,0.5597,434227661,0.0265
2017年03月,嘉義縣,66566275,0.3122,49462011,0.232,17280503,0.081,79914582,0.3748,213223371,0.013
2017年03月,屏東縣,115242880,0.3261,89399392,0.2529,54477954,0.1541,94317945,0.2669,353438171,0.0216
2017年03月,台東縣,26924729,0.4022,27354504,0.4087,2183382,0.0326,10475966,0.1565,66938581,0.0041
2017年03月,花蓮縣,43331762,0.2246,56918011,0.2951,2226240,0.0115,90426565,0.4688,192902578,0.0118
2017年03月,基隆市,46655845,0.4546,38827972,0.3783,9124,0.0001,17134181,0.167,102627122,0.0063
2017年03月,新竹市,69095687,0.0871,93460078,0.1178,636271,0.0008,629936092,0.7942,793128128,0.0484
2017年03月,嘉義市,35914988,0.4212,42348634,0.4966,459773,0.0054,6547002,0.0768,85270397,0.0052
2017年03月,澎湖縣,13015422,0.4233,14039209,0.4566,349452,0.0114,3343425,0.1087,30747508,0.0019
